,user_id,username,Age,Language,Proficiency,Objective,Learning Type,Tell us about yourself
0,AR1E51,vishal_12,24-35,English,Intermediate,Travel,Self Study,Business Analyst
1,995853,Fiona9795,24-35,French,Begginer,Travel,Mix,a traveler
2,SP6S7T,gaylebcnk,45-55,Japanese,Advanced,Career,Mix,Lawyer
3,LPJ5VM,Klausen,65+,English,Advanced,Career,Mix,I am a professional academic researcher and writer. My expertise lies in the field of public health and my research interests include disease prevention and management. I have published several articles in peer-reviewed journals and have presented my work at conferences around the world.
4,wK9Nxv,M_4buz,Under 18-,English,Begginer,Career,Mix,I have a Guinea pig and I am watching a movie.
5,N3oWVd,N3oWVdG0Gx,24-35,Japanese,Intermediate,Brain,Self Study,"Hobbies: Japanese, Cooking, travel"
6,cv8stp,bandar04,18-24,English,Intermediate,Career,Self Study,Hobbies :Gardening
7,zfGIOJ,Shruti16,24-35,German,Begginer,Career,Live Class,"Civil Engineer, Passionate about to learn new languages"
8,sjfPRZ,gamengd,18-24,English,Begginer,School/Uni,Self Study,I'm a student
9,Qq2j52,GeordieKid,18-24,English,Intermediate,Career,Live Class,Curious
10,JEIAMU,PriyankaP123,Under 18-,English,Begginer,Social,Live Class,"I am Priyanka , I love to speak English ."
11,81GYFQ,AnaLuciaD,18-24,English,Intermediate,Travel,Self Study,I am looking for a language exchange partner
12,Qwbo4V,Koala_814,18-24,English,Intermediate,Career,Self Study,Electronic Engineering Student.
13,MUIKBZ,gary326,24-35,Japanese,Intermediate,Hobby,Self Study,"My interest and hobbies are free-diving, scuba diving, reading, traveling, and stargazing."
14,8059P4,mic1k,18-24,English,Begginer,Hobby,Live Class,3D modeling
15,guqhUU,gabbylerner,45-55,French,Begginer,Hobby,Live Class,I have always wanted to speak French but don't have many opportunities to speak it.
16,87156C,Marlon,18-24,English,Begginer,Travel,Self Study,"Music,Movies,Studying"
17,vk23jb,joysyampratah,65+,English,Begginer,Other,Live Class,"I'm excited to find like-minded individuals on VK! I'm eager to learn and grow professionally, and I would love to make new connections and learn from others in similar fields. Thanks for your consideration!"
18,XwFaPf,JayneBogstrom9,45-55,English,Intermediate,Career,Self Study,I enjoy spending time with my family and friends.
19,xPxkHj,Sugi_Jake,24-35,French,Intermediate,Career,Mix,french learning
20,fBgq98,IamCute,18-24,English,Begginer,Brain,Mix,Hey i'm a girl with special specilization eye on health and family. so i want to learn english to communicate with people...
21,F7HNRY,Harry_Potter,35-45,French,Advanced,Hobby,Mix,I am a movie buff. I love watching movies and reading books.
22,5611E6,ra_vajra,18-24,English,Begginer,Career,Self Study,"hello, I'm a naruto fan."
23,y73tsj,sha14624,24-35,Arabic,Begginer,Career,Mix,I am a language learning enthusiast and always looking to improve my language skills. I am a professional in the healthcare industry.
24,a4p3j8,gdesru2,45-55,Arabic,Advanced,Other,Mix,arabi chat
25,XtV1SW,josuevib2,35-45,Arabic,Begginer,Brain,Live Class,Your feedback and examples are always welcome.
26,KpRF6i,Ruth_Katko,24-35,English,Begginer,Travel,Self Study,"I am interested in languages, reading, and traveling."
27,P6NK7N,robinv_10,Under 18-,English,Begginer,School/Uni,Mix,i like to travel and meet new people
28,v63fJQ,John_123,Under 18-,English,Begginer,Social,Live Class,>I am a student studying at the University of Pennsylvania. I hope to meet as many
29,0qr6j1,emma_schnatz,18-24,English,Intermediate,Career,Self Study,"Hi guys, I am Emma. I like to travel and explore new things."
30,h5k89X,Hamza,18-24,English,Advanced,Hobby,Self Study,I'm a singer and i like music
31,476751,cr978766,45-55,Arabic,Begginer,Career,Self Study,I am doing my duty!
32,KAXGPS,turkishcrisp33,24-35,English,Begginer,Career,Self Study,I love to play football and studying English
33,WJ6649,wj6649,18-24,English,Intermediate,Career,Mix,Am a fashion model
34,gg6aoR,Mina_B00st,18-24,English,Advanced,Brain,Self Study,"I am interested in astrology, and psychology, and I'm"
35,Kv4xTG,lfrazao,35-45,English,Intermediate,Travel,Self Study,"I am a expatriate living in Brazil for the past few years. I am learning Portuguese since two years, but have only been semi-serious about it this past year. I want to improve my language skills for meeting new people. I am a trained architect and I have some free time at hand which I"
36,ITRHBZ,Mattia,65+,English,Advanced,Career,Mix,Developer
37,crfekd,synthetic-data,24-35,English,Begginer,Career,Mix,"I\'m a passionate programmer who is constantly seeking new and innovative ways to improve my skills. Beyond coding, I enjoy spending time outdoors, hiking and exploring the natural beauty of my surroundings."
38,133278,sarishah,35-45,English,Intermediate,Hobby,Live Class,ICT
39,3PVU21,Garvit-dosai,24-35,English,Advanced,School/Uni,Mix,I am a student.
40,t90ffV,CyberPunk2077,18-24,French,Begginer,School/Uni,Self Study,I study French at uni :)
41,YLQYFU,kkarheg,56-65,Arabic,Intermediate,Social,Mix,Hypnotist
42,hh19hb,jojo134,35-45,English,Begginer,Brain,Mix,"I like all kinds of stuff, but I especially love playing video games."
43,Ea5lQJ,@jalkr95,45-55,French,Begginer,Travel,Live Class,Dentist in training
44,nXeoZm,yusri777,18-24,Arabic,Intermediate,School/Uni,Mix,"I am an undergraduate student who is trying to learn all they can about their field, any feedback is appreciated."
45,Q928M5,Steve Pruett,45-55,German,Begginer,Travel,Live Class,Technical Engineer
46,152q8r,Windbreak_701,35-45,French,Begginer,Social,Live Class,"I am a creative person with a strong desire to always learn and knowledgeable in my field of expertise, I am also looking for friends who are open minded."
47,2rrs4y,tinkhal,45-55,German,Intermediate,Travel,Mix,Hi I'm a person interested in languages currently trying to learn their language and culture . I'm also interested in other cultures .
48,BQN3GH,bqn3gh,45-55,English,Begginer,Career,Self Study,Student
49,KuCxgm,KuCxgm@L,45-55,Arabic,Advanced,Travel,Self Study,a real estate developer and investor by profession
50,CfDyqt,moxieuser21,Under 18-,English,Begginer,Other,Self Study,I just graduated from high school
51,bryggbb,Bryggy21,Under 18-,German,Begginer,Career,Live Class,I want to learn german for my career
52,o5bcl1,otpowit,24-35,English,Begginer,Hobby,Live Class,"New Ottawa resident, learning English and looking to connect with others here!"
53,3AYV6W,NFTGirls,Under 18-,English,Advanced,Career,Self Study,I am a young girl who is interested in learning new languages. I am looking for a language exchange partner to practice and improve my language skills. I am also interested in meeting new people from different cultures and learning about their lives and experiences.
54,2W4OZC,ChloeJacob,24-35,English,Intermediate,Other,Mix,I am an intermediate English learner looking for opportunities to practice my writing skills. I would appreciate any feedback on my writing and comments on my ideas.
55,zsRZTb,Aariz_05,45-55,Arabic,Intermediate,Other,Live Class,i am interested in  all kind of hobbies
56,QxUJ4M,Dylan4111,Under 18-,French,Begginer,Career,Self Study,"Hi, I'm new here."
57,WIGOYU,Learners,Under 18-,English,Begginer,School/Uni,Mix,"I love music, dancing and trying out new things"
58,H7otWa,Agung90,45-55,Arabic,Begginer,Hobby,Mix,I like to learn languages.
59,UC0L5H,Charles,45-55,English,Intermediate,Travel,Self Study,Love traveling and learning languages
60,xqj3bj,Maliya,45-55,Arabic,Advanced,Travel,Live Class,Creative Director
61,r6YT8c,inspiring_lamb,35-45,German,Intermediate,Career,Self Study,Traveler
62,Fajnbk,chris123,24-35,English,Begginer,Other,Self Study,I know a little bit of japanese and want to learn other languages.
63,O-3Z6LG,Sweet_Eggplant95,18-24,French,Intermediate,Other,Mix,aspiring model
64,AITFVW,bigod,18-24,English,Begginer,Other,Mix,"food, health, and fitness"
65,HKx9aV,avinash700,45-55,English,Begginer,Hobby,Self Study,Learning English .
66,FXE5HW,FoxyHwt,Under 18-,English,Advanced,Travel,Mix,The art of the possible
67,gJPnIV,MzE3M2UyMg==,65+,English,Advanced,Brain,Mix,"interests,music,hobby,travel,history"
68,sbKJB8,murad_j,24-35,English,Intermediate,Hobby,Live Class,"Profession-Nurse, Hobby-Cooking"
69,e7K6Cm,LanguageLearners,35-45,English,Advanced,Career,Live Class,I am learning English for my job.
70,AR9YBS,luke_dracula,24-35,Japanese,Advanced,Career,Mix,"hello, i'm a young scholar in chemistry and biology"
71,GWJ47F,tape2019,56-65,English,Intermediate,Travel,Mix,I am an architect and enjoy listening to music.
72,0MdTRB,Nagin00,65+,French,Advanced,Career,Live Class,Piano
73,EpJE8P,Learn-to-my-language,24-35,French,Begginer,Career,Live Class,I'm interested to learn French because I've been learning languages for the past 2 years now which will help me in my career.
74,l6uHKw,SarahMercer13,18-24,English,Begginer,Other,Self Study,Introvert
75,7BJNQ4,miro2000,24-35,English,Begginer,Other,Live Class,*I am always ready for new acquaintances!*
76,ri1JEM,evgeniya04,24-35,English,Intermediate,Career,Live Class,Social media manager
77,FC86KW,dazzle842,18-24,English,Begginer,Career,Live Class,Student
78,MHQVXV,Learning_Leader,24-35,English,Begginer,Career,Self Study,Tech Enthusiast
79,T4TJ6F,Umaga_Junior,Under 18-,Arabic,Begginer,School/Uni,Live Class,"I'm a 15 year old student living in Tunisia.\nI am passionate about sports, especially football\nI have been playing football for 4 years\nI am looking to improve my English as I am studying it in school but I want to improve my level."
80,GZ26N9,Moha_Hit,45-55,French,Begginer,Hobby,Mix,Avid reader
81,WuIkYQ,greyrainboy,45-55,English,Intermediate,Career,Mix,"man , i like sports like football , basketball , baseball"
82,QJD1GZ,Tina1936,35-45,English,Advanced,Other,Self Study,Oil Paintings
83,CQVQDH,RodRodre,45-55,English,Intermediate,Brain,Mix,"It has to be movies, music and food."
84,FIXBLJ,rushan117,35-45,English,Advanced,Social,Live Class,hobbyist
85,P2A19X,Jennie13,Under 18-,Japanese,Intermediate,Hobby,Self Study,I like to travel and I also play the piano.
86,Lc201h,flanaganon,45-55,English,Intermediate,Career,Self Study,I am a freelance web developer and designer.
87,N65YJT,lonnie625,65+,English,Intermediate,Career,Self Study,Making the world a better place
88,gfq937,lowla1933,65+,German,Advanced,Career,Live Class,I'm a 65 years old German guy from Germany. My hobby is cooking. I don't have any professional experience.
89,rTvX4q,RahulSoni,24-35,German,Begginer,Hobby,Live Class,Hello My name is Rahul Soni. I live in Mumbai. I am working as an application developer. I am learning German as I have a plan to visit Germany.
90,Ij522D,_Sneki_Snake_,18-24,Arabic,Begginer,Travel,Mix,I am a gamer who is interested in playing online multi player games.
91,Dw3CQz,shobinspanda3,45-55,English,Begginer,Career,Mix,QA Lead
92,ucxudl,Carmencita81,24-35,Japanese,Intermediate,Hobby,Self Study,"Hello, I'm Carmencita81, a 24-35 year old Japanese speaker. I have an Intermediate level of proficiency in Japanese and I'm learning Japanese for a Hobby. My preferred learning type is Self Study."
93,yXG48W,devansha_k02,18-24,English,Begginer,Career,Live Class,"Music,Dancing,Volleyball"
94,EyUuIh,JinnyGuba01,18-24,Arabic,Begginer,Travel,Self Study,Fashion and music
95,24RJBY,MohamedSalah77,24-35,Arabic,Intermediate,Career,Self Study,I love watching football and I also like to read books
96,8ES86R,sarah_51,45-55,English,Begginer,Brain,Mix,"Interested in history, travel and art."
97,vJzyCW,igahash,24-35,English,Advanced,Career,Self Study,lorem ipsum
98,S1RUY0,Oleksandr,65+,English,Advanced,School/Uni,Self Study,"I like watching various sports, especially football, basketball, volleyball, tennis, and hockey."
99,f2tHqV,uydbong,24-35,French,Advanced,Other,Live Class,Spanish Profficiency
100,U283F40,Maddie271,18-24,English,Begginer,Hobby,Self Study,I am a student and I love to travel.
101,gK49Wb,lucasjoseph,18-24,English,Begginer,Career,Live Class,I love music and food.
102,b9rywo,Ranjeet,24-35,Japanese,Intermediate,School/Uni,Live Class,Passionate language learner and occasional coder
103,Xg0QlL,Hituat,56-65,English,Advanced,Career,Self Study,Traveler
104,901365,wierzynski782,65+,English,Begginer,Social,Self Study,I have always had a passion for language learning and have been studying for many years. I am dedicated to practicing and improving my skills every day.
105,qVzdkR,gajjew,45-55,Japanese,Begginer,Other,Self Study,I am here to learn Japanese because I have a dream of becoming an author. i would love to publish my book in Japanese.
106,9wKh2c,@augeppez,65+,French,Begginer,Other,Self Study,Everything
107,9hk9mq,language_learner,18-24,English,Begginer,Other,Mix,I work in ophthalmology
108,h5Mt6q,Sean_So,56-65,French,Begginer,Hobby,Live Class,Trying to learn French for vacation
109,lldWjz,nadyan,35-45,English,Intermediate,Hobby,Mix,I am an enthusiast of English learning and I want to learn cookery. I'm a good cook. I love to read books and watch movies and listen to music.
110,hbxbTb,Nadia_H0615,24-35,English,Begginer,Career,Mix,I am a language enthusiast who is always eager to learn new languages and cultures.
111,julie79,julie79,35-45,English,Intermediate,Brain,Self Study,Idk
112,OtTbWp,Ghanashyam,18-24,English,Begginer,Hobby,Mix,"Hello there, I'm Ghanashyam. I'm learning English. I'm 18-24 years old. My native language is Hindi. I live in India. I live in India. My proficiency level in English is Begginer. I'm interested to learn"
113,b9JE5b,Ghostbusters21,24-35,English,Intermediate,Career,Mix,blogger - running
114,QhhX9r,DharmaGup,24-35,Japanese,Begginer,Career,Mix,Tattoo artist
115,1RAB1W,steph,24-35,Japanese,Intermediate,Career,Mix,"I am a self-taught software engineer and data scientist interested in the fields of data analytics, machine learning, and natural language processing. I am passionate about using technology to solve real-world problems and help people in my community."
116,9JQRAR,Tina162,56-65,English,Begginer,Social,Live Class,Fell in love with India and everything about this country.
117,643391,fatboy,45-55,English,Intermediate,Career,Live Class,"Living up to my name, being fat and being a boy, I'm a gamer and a student:-)"
118,b6M9qH,Andrew_Dick,24-35,English,Advanced,Brain,Mix,Hi!
119,f4FkqZ,Johnny723,Under 18-,German,Begginer,Travel,Mix,"Hi. I'm 16 years old guy. I want learn German, because I want to visit Germany in vacation."
120,2TXSAC,Ana_Leija,35-45,English,Advanced,Career,Self Study,"I am a professional English teacher. My interests are reading, traveling, and spending time with family and friends. I am also interested in learning about different cultures and languages."
121,User2451,NickDom666,18-24,Japanese,Begginer,Career,Mix,I'm interested in dating and I'm interested in a relationship.
122,5FZJ7C,techexp2007,56-65,English,Intermediate,Hobby,Self Study,"I started learning English a long time ago. I remember that in Russia, at the time, when the wall fell in Germany, we all watched a program called ""Так говорят иностранцы"" where on the screen we saw an English speaker, in this case from America, and then the"
123,c1g2Cj,mariarosa,18-24,English,Advanced,Travel,Live Class,I'm on my 2nd year in college. I'm taking up Food Technology. My favorite hobby is reading books.
124,ArvBpU,BobbyMo812,45-55,Japanese,Intermediate,Career,Self Study,Working Professional
125,hz7hb1,kwekile,24-35,French,Begginer,Travel,Self Study,"Hi there, I'm Kwekile. I'm a very sporty person, I like to watch sports and play sports. I love to go to the gym, walk and run. My best friend is running."
126,s9hNqy,@Tomato92,18-24,English,Intermediate,Hobby,Self Study,"Hello everyone,"
127,3cDJ0q,jacobpr,18-24,English,Advanced,Other,Mix,"Hi, I am Jock (20). My professional work has been in tech and Web3 space. I am an early adopter of cryptocurrencies and Web3 space. You can find me on Twitter @JacobPr2503"
128,jP8KLh,karina814,18-24,English,Intermediate,Hobby,Live Class,I am 20 years old and I live in Ukraine.
