,user_id,username,Age,Proficiency,Objective,Learning Type,Tell us about myself
1,johndoe,18-24,Begginer,Travel,Self Study,I am a student at the university of California, Berkeley. I am majoring in computer science and I am interested in learning English so that I can travel to Europe.
2,janesmith,24-35,Intermediate,School/Uni,Mix,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
3,johnsmith,35-45,Advanced Intermediate,Hobby,Self Study,I am a retired engineer and I am learning English so that I can read English literature. I am also interested in traveling to England.,
4,maryjohnson,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
5,robertdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
6,susanwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
7,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
8,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
9,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
10,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
11,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
12,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
13,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
14,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
15,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
16,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
17,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
18,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
19,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
20,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
21,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
22,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
23,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
24,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
25,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
26,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
27,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
28,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
29,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
32,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
33,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
34,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
35,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
36,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
37,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
38,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
39,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
40,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
41,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
42,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
43,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
44,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
45,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
46,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
47,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
48,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
49,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
52,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
53,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
54,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
55,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
56,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
57,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
58,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
59,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
60,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
61,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
